,OTU00002,OTU00003,OTU00004,OTU00005,OTU00006,OTU00008,OTU00009,OTU00010,OTU00011,OTU00012,OTU00013,OTU00014,OTU00015,OTU00016,OTU00017,OTU00018,OTU00019,OTU00021,OTU00022,OTU00023,OTU00024,OTU00028,OTU00030,OTU00032,OTU00034,OTU00035,OTU00036,OTU00037,OTU00039,OTU00041,OTU00042,OTU00043,OTU00044,OTU00045,OTU00047,OTU00048,OTU00049,OTU00050,OTU00052,OTU00054,OTU00055,OTU00056,OTU00057,OTU00058,OTU00059,OTU00060,OTU00061,OTU00062,OTU00064,OTU00065,OTU00067,OTU00070,OTU00071,OTU00072,OTU00077,OTU00078,OTU00079,OTU00081,OTU00085,OTU00086,OTU00090,OTU00092,OTU00094,OTU00096,OTU00097,OTU00101,OTU00103,OTU00111,OTU00112,OTU00121,OTU00123,OTU00124,OTU00126,OTU00129,OTU00132,OTU00136,OTU00137,OTU00152,OTU00155,OTU00158,OTU00162,OTU00165,OTU00171,OTU00188,OTU00196,OTU00198,OTU00226,OTU00309,OTU00311
S081,123699.1727,31186.8677,26731.60089,29876.49511,99588.31704,23324.63214,88319.11274,31448.94222,56214.98422,17558.99274,12710.61415,34331.76193,34986.94822,13103.72592,31055.83044,14807.2103,26600.56363,131.0372593,36559.39533,8386.384593,7731.198296,1441.409852,14414.09852,9958.831703,4717.341333,2882.819703,20179.73793,5503.56489,3931.117777,12448.53963,6813.937481,16117.58289,917.2608148,5503.564889,917.2608148,3931.117777,3013.856963,6813.937481,17952.10452,6289.788444,6420.825704,1310.372592,11138.16704,6027.713926,4062.155037,4848.378593,4717.341333,655.1862963,5634.602148,3013.856963,3669.04326,131.0372593,1048.298074,20310.77519,2751.782444,4193.192296,3669.043259,5765.639408,4586.304074,10351.94348,1703.484371,3406.96874,0,9696.757184,4848.378592,786.2235556,3275.931482,524.149037,5503.564889,4062.155037,655.1862963,655.1862963,393.1117778,393.1117778,4062.155037,2489.707926,0,5241.49037,131.0372593,393.1117778,262.0745185,131.0372593,131.0372593,262.0745186,262.0745185,1310.372593,0,262.0745185,0
S082,18623.23546,5403.03745,50179.27334,4655.808867,13737.51011,14197.34309,42764.46663,5460.516572,14542.21782,15346.92552,8621.868271,4598.329745,11323.38699,5173.120963,3276.309942,4885.725354,4253.455014,0,10748.59578,5517.995694,3448.747308,5460.516571,2241.685751,5977.828668,5920.349546,977.1450707,4655.808866,2011.769263,2299.164872,7184.890226,1494.457167,10691.11666,57.47912181,6725.057251,1379.498923,1092.103314,3563.705552,919.6659489,7989.597931,632.2703399,2644.039603,689.7494617,5403.037449,1896.81102,747.2285835,574.791218,1034.624193,459.8329744,1724.373654,287.395609,3276.309943,114.9582436,344.8747308,5862.870425,2644.039603,2414.123115,2414.123116,1896.81102,632.2703398,15231.96728,1264.540679,1609.415411,229.9164872,4713.287988,2931.435212,57.47912181,4885.725353,229.9164872,1609.41541,459.8329744,3218.830821,229.9164872,459.8329744,57.47912181,344.8747308,632.2703399,0,1551.936289,344.8747308,229.9164872,57.47912181,402.3538526,287.395609,57.47912181,57.47912181,1322.019801,57.47912181,114.9582436,0
S083,57857.17728,35978.41276,139051.7034,204687.997,193991.712,72929.21506,217815.2556,176974.8952,188157.3748,48133.28193,66608.68308,59801.95634,173085.3371,39867.97089,30144.07555,85084.08423,113769.5755,0,39381.77613,110852.4069,18961.59592,31116.46509,22851.15405,37436.99706,59801.95634,70498.24122,5834.337204,8751.505806,8265.311039,71956.82552,8265.311039,37436.99706,0,63205.31971,3889.558136,1944.779068,59801.95634,486.194767,34519.82845,1458.584301,16530.62208,20420.18022,71956.82552,19447.79068,486.194767,6320.531971,1458.584301,50564.25577,14099.64824,7292.921505,8265.311039,0,1458.584301,19933.98545,94321.7848,49105.67147,38895.58136,8751.505806,8265.311039,13613.45348,6806.726738,8265.311039,0,17503.01161,21878.76451,0,5348.142437,972.389534,32088.85463,8751.505806,10210.09011,972.389534,486.194767,11182.47964,10696.28487,972.389534,972.389534,8751.505806,15072.03778,0,972.389534,9723.89534,10210.09011,10696.28487,1458.584301,5348.142437,0,486.194767,0
S084,39348.88313,33869.92472,62260.89103,42586.44947,325499.9383,78199.67914,79693.94052,95134.64149,226629.6433,30383.31482,13946.43959,24904.35641,170843.885,95383.68506,24406.26928,70728.37221,117797.6058,0,65996.54449,12452.17821,41341.23165,36858.44749,25402.44354,22164.8772,10708.87325,27892.87918,8467.481179,10708.87326,8218.437616,51302.97421,5478.95841,30383.31482,249.0435641,7222.263359,13448.35246,1494.261385,7222.26336,1992.348513,29387.14057,2988.522769,7720.350487,13697.39603,78946.80982,5229.914846,3237.566333,5977.045539,747.1306923,6724.176231,11206.96038,3735.653462,6226.089103,996.1742564,1245.217821,41590.27521,15440.70098,6973.219795,4233.74059,10957.91682,8716.524744,12950.26533,747.1306923,2241.392077,249.0435641,10459.82969,11705.04751,498.0871282,1992.348513,747.1306923,27145.74849,3486.609897,5229.914846,1245.217821,0,1743.304949,18429.22375,1992.348513,249.0435641,6724.176232,5229.914846,498.0871282,996.1742564,3486.609898,3984.697025,0,1494.261385,4233.74059,249.0435641,249.0435641,0
S085,107623.1235,58461.94364,160770.345,112273.5054,554724.1243,130210.6927,211924.5457,124895.9705,858991.9673,70420.06847,82378.19331,42517.77719,326191.0719,95664.99869,15279.82618,348778.641,374023.5713,664.3402686,29230.97182,37203.05504,51818.54095,67098.36713,41853.43692,49161.17988,21258.8886,115595.2067,8636.423493,13951.14564,11958.12484,93671.97788,11958.12484,51818.54095,1993.020806,23251.9094,33881.3537,6643.402686,13951.14564,1328.680537,57133.2631,1993.020806,21923.22886,32552.67316,200630.7611,22587.56913,1328.680537,3986.041612,3321.701343,17272.84699,27902.29128,0,5979.062418,1328.680537,1328.680537,21923.22887,29895.31209,9965.104029,11293.78457,13286.80537,6643.402686,15279.82618,2657.361075,4650.381881,0,25909.27048,36538.71477,1328.680537,5314.722149,1328.680537,70420.06848,8636.423492,11293.78457,2657.361075,0,7972.083224,73741.76981,3321.701343,0,15944.16645,4650.38188,0,0,9300.763761,15279.82618,2657.361074,3986.041612,11958.12484,0,1328.680537,1993.020806
S086,157206.6495,37430.15464,160013.9111,35090.76998,23159.90818,70415.47843,161417.5419,33453.20071,39769.53931,73690.61696,49127.07797,27136.86212,4678.769331,17077.50806,39769.53931,87259.04802,4444.830865,233.9384665,61759.75516,31815.63145,10293.29253,16843.56959,12632.67719,30879.87758,17545.38499,11462.98486,29710.18525,10761.16946,12632.67719,37430.15465,8655.723262,40939.23165,1637.569266,19182.95426,32049.56992,4444.830864,14972.06186,3275.138531,48659.20104,1403.630799,10293.29253,5614.523197,44448.30863,12866.61566,4678.769331,3743.015465,4912.707797,4444.830865,15439.93879,6316.338596,8187.846329,2573.323132,3743.015465,29944.12371,12164.80026,13334.49259,16609.63112,8421.784795,7252.092462,10995.10793,1403.6308,8187.846328,0,23627.78512,16609.63112,701.8153996,89364.49422,467.8769331,5848.461663,2339.384665,5614.523197,2105.446199,233.9384665,701.8153996,4210.892398,3041.200065,233.9384665,14738.12339,1637.569266,701.8153996,467.8769331,2105.446199,2807.261599,2339.384665,1403.630799,5848.461663,233.9384665,701.8153996,0
S087,150821.2588,88123.53245,84367.44745,313777.5614,587104.9768,63853.44482,104592.5205,56630.20445,53451.9787,37849.77951,11268.25497,81478.15131,85523.16591,84078.51784,64431.30405,15602.19919,11557.18458,0,11557.18458,19069.35456,35249.41298,577.8592291,29470.82069,17046.84726,11268.25497,13290.76227,6934.31075,13579.69189,4045.014604,8956.818052,8378.958822,15891.1288,866.7888437,5778.592291,4045.014604,8956.818052,8090.029208,3756.084989,26870.45415,288.9296146,6645.381135,2600.366531,13001.83266,8090.029208,577.8592291,12135.04381,6645.381136,577.8592292,22536.50994,41316.93488,11557.18458,866.7888437,1733.577687,8956.818051,2311.436916,4045.014604,5778.592291,13001.83266,1155.718458,5489.662677,1733.577688,1444.648073,1733.577688,17335.77687,4622.873833,288.9296146,1444.648073,1155.718458,10690.39574,8667.888437,866.7888437,3467.155375,1733.577687,0,9245.747666,866.7888437,0,12135.04381,288.9296146,866.7888437,288.9296146,866.7888437,0,0,0,577.8592291,1733.577687,577.8592291,0
S088,324561.74,353147.8011,249358.41,349629.5167,887047.4654,178552.9356,253316.48,91035.60999,37821.55778,15832.28,35622.63,155684.0866,43538.77,115223.8156,97632.39332,3958.07,8355.925555,0,100710.8923,54533.40889,41339.84222,21109.70666,50135.55333,32983.91666,35622.63,10115.06778,58051.69333,22868.84889,16272.06555,40460.27111,14952.70889,44418.34111,3078.498889,26826.91889,5277.426666,7476.354444,25067.77666,3958.07,35182.84444,14512.92333,16272.06555,11434.42445,7476.354444,33863.48778,6156.997778,16711.85111,10115.06778,4837.641111,47057.05445,21549.49222,13193.56667,11434.42444,3518.284445,53214.05222,11434.42444,13193.56667,21989.27778,34303.27333,18031.20777,15392.49444,7476.354444,11874.21,879.571111,32544.1311,11874.21,439.7855555,11434.42445,1319.356667,2198.927778,5717.212223,10115.06778,2638.713333,879.571111,1319.356667,8355.925556,3518.284444,4397.855556,21549.49222,2638.713334,2638.713333,1759.142223,3958.07,2638.713334,2198.927778,2638.713333,4397.855556,45737.69778,439.7855555,879.571111
S089,387918.0126,486159.9708,150576.4594,295184.9493,927789.7084,198779.2893,262590.6547,108800.6734,19281.13199,13772.23713,50039.12826,213469.6756,44071.15883,84928.79567,90896.76509,9181.491424,22953.72856,5049.820283,35807.81655,26626.32512,56007.09769,459.0745712,40398.56226,23412.80313,14231.31171,29380.77256,35807.81655,14690.38628,12395.01342,14231.3117,13772.23714,38562.26398,8263.342281,12854.08799,6886.118567,16985.75913,15149.46085,10558.71514,25708.17599,12854.08799,11476.86428,918.1491424,12395.01342,22035.57942,2295.372856,42693.93512,16067.61,0,56466.17226,6427.043997,7804.26771,7345.193139,4131.671141,11017.78971,918.1491424,5508.894854,12854.08799,29839.84713,6886.118568,7345.193139,7345.193139,14690.38628,2295.372856,14231.31171,11017.78971,1836.298285,1836.298285,5967.969425,4131.671141,12854.08799,0,4590.745712,918.1491424,459.0745712,10099.64057,918.1491424,3672.59657,16526.68456,0,1836.298285,459.0745712,0,0,0,0,0,3672.59657,4590.745712,0
S090,317781.1388,807918.1495,130164.5908,214547.153,1102359.431,401266.0143,471285.5871,524249.1103,176844.306,47577.40213,15260.67616,397675.2669,29623.66548,174151.2456,119392.3488,59247.33096,120290.0356,7181.494661,48475.08897,19749.11032,106824.7331,3590.747331,197491.1032,85280.24911,10772.24199,212751.7794,8079.181495,43088.96797,29623.66548,112210.8541,29623.66548,56554.27046,8079.181495,8976.868327,235193.9502,76303.38079,9874.55516,9874.55516,26032.91815,2693.060498,23339.85765,18851.42348,54758.89679,13465.3025,0,129266.9039,7181.494662,0,165174.3772,11669.92883,6283.807829,17056.04982,27828.29182,25135.23132,1795.373665,3590.747331,4488.434163,171458.1851,5386.120996,4488.434164,0,2693.060498,9874.55516,8079.181494,29623.66548,6283.807829,13465.30249,12567.61566,43986.65481,38600.5338,0,13465.30249,0,0,19749.11032,0,135550.7118,78098.75445,0,0,897.6868327,897.6868327,897.6868327,0,0,1795.373665,26930.60499,8079.181495,0
